traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
1.0,TBD,,Kensington,2086.0,27.103947237841652,6.0,,Wet,7969.0
2.0,TBD,London,Southwark,4629.0,80.63581374041276,1.0,Low,,7306.0
3.0,2024-01-01T02:00Z,,Southwark,3109.0,89.05794879321176,0.0,High,Wet,4735.0
4.0,,,,3563.0,-18.832490577826704,2.0,Medium,Dry,8288.0
5.0,01/01/2024 04AM,London,,3748.0,107.90651696127092,2.0,,Snowy,8711.0
6.0,01/01/2024 05AM,London,Southwark,3133.0,-8.291384497325764,6.0,High,,6664.0
7.0,2024-01-01 06:00,London,Chelsea,1424.0,,8.0,Low,Snowy,2777.0
8.0,2024-01-01T07:00Z,London,Kensington,3218.0,95.72794369537365,6.0,Medium,Snowy,6887.0
9.0,2024-01-01 08:00,,Kensington,259.0,88.98006027437143,1.0,High,Dry,1372.0
,01/01/2024 09AM,London,Chelsea,1404.0,36.028368191538036,1.0,Medium,Dry,3294.0
11.0,2024-01-01T10:00Z,London,Camden,41.0,72.18285187626923,0.0,High,Snowy,3225.0
12.0,01/01/2024 11AM,,,3721.0,16.91417994157525,7.0,Medium,Damaged,4777.0
13.0,2024-01-01T12:00Z,,Islington,4423.0,109.71568187131365,9.0,Low,Wet,6405.0
14.0,01/01/2024 01PM,London,Southwark,3215.0,72.17559243262903,8.0,Low,Dry,4304.0
15.0,2099-00-00 99:99,London,,3622.0,29.829598790471003,7.0,,Snowy,307.0
16.0,01/01/2024 03PM,,Islington,19214.0,40.73174822954557,1.0,,Damaged,3356.0
17.0,2024-01-01T16:00Z,London,,484.0,-2.645510678410165,30.0,,Dry,1724.0
18.0,01/01/2024 05PM,London,Southwark,1315.0,76.17393234644626,5.0,High,Snowy,6189.0
19.0,TBD,London,Islington,14618.0,25.93884034805102,4.0,High,Wet,43540.0
20.0,2024-01-01T19:00Z,,Islington,1403.0,-19.96510665274671,8.0,High,Snowy,2949.0
21.0,2099-00-00 99:99,London,Southwark,3898.0,20.663905957914242,2.0,,Damaged,1410.0
22.0,01/01/2024 09PM,London,,3291.0,95.68606474227495,1.0,Low,Dry,3400.0
